Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1,Smart Fan Iron Cooker Go Wireless Portable,Catch enough role nearly.,Herman Ltd,Kids' Clothing,585,USD,194,3968600833473,Cornsilk,5x7 in,limited_stock,54
2,Fan,All movement yeah tax me.,"Braun, King and Rollins",Grooming Tools,992,USD,724,0191126950284,Bisque,S,discontinued,49
3,Smart Speakerphone Charger Eco Plus Clean,Quickly inside pull line lay start.,Peck-Coleman,Fishing & Hunting,940,USD,769,7569143820621,Blue,Extra Large,pre_order,42
4,Premium Grill Trimmer Portable,Lawyer one than fire.,Hines Ltd,Skincare,324,USD,93,2705140928037,Ivory,50x70 cm,out_of_stock,93
5,Keyboard Freezer,Remain Congress blood plan voice.,"Spence, Webster and Orr",Laptops & Computers,908,USD,614,9830391008108,FloralWhite,10x10 cm,discontinued,91
6,Smart Fridge Plus,Tell tend provide government voice.,"Marks, Guzman and Cooley",Kitchen Appliances,627,USD,901,3039245054025,LightSalmon,XXL,pre_order,29
7,Compact Dock One Portable Wireless,Push role risk must get performance color.,Newman-Barajas,Fishing & Hunting,385,USD,366,6194768427002,MediumPurple,Large,out_of_stock,23
8,Premium Cooler Digital Portable X,Fall opportunity southern drive professor top.,"Gutierrez, Singleton and Downs",Skincare,296,USD,609,6978363826350,PaleGreen,8x10 in,in_stock,6
9,Compact Fan Scooter Headphones,Medical myself his piece agree.,Weber and Sons,Clothing & Apparel,870,USD,930,2666733210512,DarkBlue,XS,limited_stock,6
10,Eco Dock Air,Know hope enjoy budget have.,Humphrey and Sons,Beauty & Personal Care,602,USD,923,3726212774009,SandyBrown,50x70 cm,in_stock,11
11,Thermostat Stove Lamp,Pull perhaps customer available.,Moreno-Weaver,Kids' Clothing,707,USD,257,6886778382210,Thistle,M,discontinued,33
12,Mini Powerbank Lite Plus,Still can tell.,"Gentry, Vincent and Saunders",Makeup,499,USD,108,9632709420387,OldLace,M,pre_order,22
13,Scooter Bicycle Oven,Deal event item ever financial home.,Mclean-Aguilar,Laptops & Computers,79,USD,203,0227867819631,LightSkyBlue,30x40 cm,in_stock,58
14,Fan,It minute eight mother often focus ever.,Mcdaniel LLC,Toys & Games,897,USD,338,1326983446208,MediumBlue,50x70 cm,limited_stock,67
15,Wireless Light Heater Clock X,Sing statement show future size hard hope.,Sosa LLC,Grooming Tools,581,USD,877,4749136042046,DarkTurquoise,8x10 in,limited_stock,84
